2021-06-16 20:00:01 | /errorHandler.js(33) | oGgdZvQg8cexgDc51y0vizBVpgWDBzrM | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-04","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:05 | /errorHandler.js(33) | F47hI2bl37lBFL1SjuMweBWj9tUuhISa | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-04","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:06 | /errorHandler.js(33) | lhbB6Kmtmd3ijgWRHxFmgDW5kdvjAyHc | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | User :  | URL : http://10.0.3.78:2001/health | GET | Request : {}
2021-06-16 20:00:07 | /errorHandler.js(33) | EVzWQltzbSxeXdxFMZUjZfGzwrArbswG | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-01","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:10 | /errorHandler.js(33) | VMNYORJT2t8FzpJhdP3jCu227zlOe4XT | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-23","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:12 | /errorHandler.js(33) | Zv8NE9vt7531cAnMzrOdHhIgmRDahVeq | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | User :  | URL : http://10.0.3.78:2001/health | GET | Request : {}
2021-06-16 20:00:14 | /errorHandler.js(33) | SthqKuaLJQtT4s2NN8Xj2H57XFbqmrs3 | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-21","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:18 | /errorHandler.js(33) | MvV1OGKCfsLgREghjRtog9t5Z9DhQJ0K | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-13","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:18 | /errorHandler.js(33) | d9w5aviE0U5waMpjq3A5Pf2Hpx6QqDk0 | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-03","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:21 | /errorHandler.js(33) | gAXXzz4SFZCiKM31ppwNu1aOMff0rQrv | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-04","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:21 | /errorHandler.js(33) | ovb13pdISSgxVCupFiGYJ0CpDMkspk1V | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-04","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:26 | /errorHandler.js(33) | yhVtqHhy7i8oZiPgD8dDmOg7kB78PRSL | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | User :  | URL : http://10.0.3.78:2001/health | GET | Request : {}
2021-06-16 20:00:26 | /errorHandler.js(33) | yhVtqHhy7i8oZiPgD8dDmOg7kB78PRSL | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-06","clinicId":"609be7f8f132c1001fb007c4"}
